"Log Id"	"Internal Case"	"After Work"	"Holiday"	"Status"	"Customer"	"Time"	"Requestor"	"Submitted Date"	"Time"	"Subject"	"Problem Description"	"Module"	"Application_Form"	"Program Group"	"Type"	"Problem"	"Error Type"	"C(problemStatic)"	"Cause"	"Solution"	"Solution By"	"Responsible"	"Time"	"Projected Date"	"Closed  By"	"Closed Date"	"Submitted Date"	"Closed"	"Remark"	"Record By"	"Severity "	"Support  Type"	"LogType"	"Mail"	"Time"	"Time"	"Time"	"How To Check"	"Current Solution"	"C(longtermsolutionStatic)"	"Closed"	"Severity "	"Severity Days"	"SLA"	"PK Manday"	"LogDate"	
"ADI2601001"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Natthakan"	"09/01/2026"	"15:10"	"ช่วยทำให้ หน้า RMA Status Report ช่อง Total Credit 1,062,001.64 ของ RT25000731 ให้เท่ากับ Amt.(THB) ของ AR - Invoice Voucher ได้มั้ยคะ"	""	"RMA"	"RMA Status Report"	"RMA Status Report"	"Standard"	"ช่วยทำให้ หน้า RMA Status Report ช่อง Total Credit 1,062,001.64 ของ RT25000731 ให้เท่ากับ Amt.(THB) ของ AR - Invoice Voucher ได้มั้ยคะ"	"Standard Bug"	""	"หลักการคำนวณของรายงาน RMA Status Report กับรายงาน PPCC ไม่เหมือนกัน"	"แก้ไขไม่ได้เนื่องจาก RMA Status Report เป็นรายงาน Standard"	""	"J3"	"09/01/2026"	"14/01/2026"	"J3"	"12/01/2026"	"0850"	1	""	"sa"	"Standard"	""	""	"LINE"	"09/01/2026"	"J3"	"15:25"	""	"แก้ไขไม่ได้เนื่องจาก RMA Status Report เป็นรายงาน Standard"	"แก้ไขไม่ได้เนื่องจาก RMA Status Report เป็นรายงาน Standard"	1	"Standard"	"3 Days"	Pass	0.00	"09/01/2026"	
"ADI2601002"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"Natty"	"22/01/2026"	"09:45"	"ราคาไม่ขึ้นค่ะ"	""	"PO"	"Purchase Order Report"	"Purchase Order Report"	"Customized"	"ราคาไม่ขึ้นค่ะ"	"Customized Bug"	""	""	"ลดขนาดช่องว่างระหว่างขอบ (Padding) ข้อความจาก 20 เหลือ 15 เพื่อไม่ให้ข้อความตกบรรทัด"	""	"J3"	"22/01/2026"	"27/01/2026"	"J3"	"22/01/2026"	"1023"	1	""	"J6"	"Standard"	""	""	"LINE"	"22/01/2026"	"J6"	"09:45"	""	"ลดขนาดช่องว่างระหว่างขอบ (Padding) ข้อความจาก 20 เหลือ 15 เพื่อไม่ให้ข้อความตกบรรทัด"	"ลดขนาดช่องว่างระหว่างขอบ (Padding) ข้อความจาก 20 เหลือ 15 เพื่อไม่ให้ข้อความตกบรรทัด"	1	"Standard"	"3 Days"	Pass	0.00	"22/01/2026"	
"ADI2602001"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Natthakan"	"06/02/2026"	"16:55"	"EIV2601-0009 รบกวนช่วยแก้ ทศนิยม 8,553.60ให้หน่อยค่ะ"	""	"AR"	"Invoices, Debit and Credit Memos"	"Invoices Debit and Credit Memos"	"Customized"	"EIV2601-0009 รบกวนช่วยแก้ ทศนิยม 8,553.60ให้หน่อยค่ะ"	"Unidentified"	""	"Diff ทศนิยม"	"Update Database"	""	"J3"	"06/02/2026"	"11/02/2026"	"J3"	"09/02/2026"	"0900"	1	""	"sa"	"Standard"	""	""	"LINE"	"06/02/2026"	"J3"	"17:00"	""	"Update Database"	"Update Database"	1	"Standard"	"3 Days"	Pass	0.00	"06/02/2026"	
"ADI2602002"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Natthakan"	"07/02/2026"	"10:50"	"ช่อง Ship Site ไม่ขึ้น DEFAULT ค่ะ"	""	"CO"	"Customer Order"	"Customer Order Lines"	"Standard"	"ขอสอบถามค่ะ Item : SDC-IR-MOSF1402 ลง SO ช่อง Ship Site ไม่ขึ้นค่ะส่งผลให้ตอน Ordershipping ไม่โชว์แต่รหัสอื่นขึ้น DEFAULT ปกติ
**แก้ไขเบื้องต้น สามารถทำได้ แต่ ถ้าครั้งหน้าลง SO แล้วจะขึ้น Auto พอจะทำได้มั้ยคะ"	"Unidentified"	""	""	""	""	"J6"	"09/02/2026"	"12/02/2026"	"J3"	"10/02/2026"	"1733"	1	""	"J6"	"Standard"	""	""	"MAIL"	"09/02/2026"	"J6"	"10:40"	""	"โดยปกติเมื่อทำการสร้างรายการใหม่ระบบจะทำการดึง Ship Site มาให้"	""	1	"Standard"	"3 Days"	Pass	0.00	"09/02/2026"	
"ADI2603001"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Natthakan"	"18/03/2026"	"09:35"	"ขอวิธีเปลี่ยนสถานะ PR จาก Converted เป็น Requested ค่ะ"	""	"PR"	"PPCC_Purchase Orders Requisition Lines"	"Purchase Order Requisition Lines"	"Standard"	"Status : Converted
แต่ PO ไม่ขึ้น ถ้าต้องการเปลี่ยนจาก Converted เป็น Requested มีวิธีแก้มั้ยคะ
*เคสนี้ต้องการแก้ไข Ordered จาก 5 PC เป็น 10 PC ค่ะ"	"Unidentified"	""	""	"แก้ไข Status เป็น Requested"	""	"J3"	"18/03/2026"	"23/03/2026"	"J3"	"20/03/2026"	"0906"	2	""	"J6"	"Standard"	""	""	"MAIL"	"18/03/2026"	"J6"	"09:40"	""	"แก้ไข Status เป็น Requested"	"แก้ไข Status เป็น Requested"	2	"Standard"	"3 Days"	Pass	0.00	"18/03/2026"	
"ADI2603002"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Natthakan"	"26/03/2026"	"16:00"	"ช่วยทำให้ D1-JVT-N1WB-E51700-A-PIA-04 On hand เป็น 0"	""	"Item"	"Item Lot Locations"	"Item Lot Locations"	"Standard"	"ช่วยทำให้ D1-JVT-N1WB-E51700-A-PIA-04 On hand เป็น 0"	"Knowledge"	""	"Material Transaction พบว่า Lot MO26020240D0304 เหลือของอยู่ที่ Location E-DC-FG จำนวน 2 PC ถูกต้องแล้ว"	"Rebalance Item Qty On Hand"	""	"J3"	"26/03/2026"	"31/03/2026"	"J3"	"27/03/2026"	"1024"	1	""	"J6"	"Standard"	""	""	"MAIL"	"26/03/2026"	"J6"	"16:35"	""	"Rebalance Item Qty On Hand"	"Rebalance Item Qty On Hand"	1	"Standard"	"3 Days"	Pass	0.00	"26/03/2026"	
"ADI2604001"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"Natty"	"03/04/2026"	"08:25"	"ช่วยแก้ไข EIV2603-0005 หน่วยหลังทศนิยม ให้เป็น 39,081.60 ให้หน่อยนะคะ"	""	"AR"	"Invoices, Debit and Credit Memos"	"Invoices Debit and Credit Memos"	"Customized"	"ช่วยแก้ไข EIV2603-0005 หน่วยหลังทศนิยม ให้เป็น 39,081.60 ให้หน่อยนะคะ"	"Opening Balance"	""	"Diff ทศนิยม"	"Update Database"	""	"J3"	"03/04/2026"	"08/04/2026"	"J3"	"03/04/2026"	"1419"	1	""	"J6"	"Standard"	""	""	"MAIL"	"03/04/2026"	"J6"	"08:40"	""	"Update Database"	"Update Database"	1	"Standard"	"3 Days"	Pass	0.00	"03/04/2026"	
"ADI2605001"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"Natty"	"04/05/2026"	"14:55"	"EIV2604-0003 ช่วยแก้ไขหลังจุดทศนิยม เป็น 4,421.40 ให้หน่อยนะคะ"	""	"AR"	"Invoices, Debit and Credit Memos"	"Invoices Debit and Credit Memos"	"Customized"	"EIV2604-0003 ช่วยแก้ไขหลังจุดทศนิยม เป็น 4,421.40 ให้หน่อยนะคะ"	"Customized Bug"	""	""	"Update Database"	""	"J3"	"05/05/2026"	"08/05/2026"	"J3"	"05/05/2026"	"1018"	1	""	"J6"	"Standard"	""	""	"LINE"	"05/05/2026"	"J6"	"08:50"	""	"Update Database"	"Update Database"	1	"Standard"	"3 Days"	Pass	0.00	"05/05/2026"	
"ADI2605002"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"Natty"	"05/05/2026"	"09:35"	"EIV2604-0006 ช่วยแก้ไขหลังจุดทศนิยมเป็น 1,109.00 ให้หน่อยนะคะ"	""	"AR"	"Invoices, Debit and Credit Memos"	"Invoices Debit and Credit Memos"	"Customized"	"EIV2604-0006 ช่วยแก้ไขหลังจุดทศนิยมเป็น 1,109.00 ให้หน่อยนะคะ"	"Customized Bug"	""	""	"Update Database"	""	"J3"	"05/05/2026"	"08/05/2026"	"J3"	"05/05/2026"	"1019"	1	""	"J6"	"Standard"	""	""	"LINE"	"05/05/2026"	"J6"	"09:50"	""	"Update Database"	"Update Database"	1	"Standard"	"3 Days"	Pass	0.00	"05/05/2026"	
"ADI2605003"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Tarn"	"14/05/2026"	"13:15"	"สอบถามค่ะ"	""	"AR"	"A/R Billing Status Report"	"AR Billing"	"Localized"	"จะเช็คว่า invoice ไหนยังไม่วางบิล ดูที่หน้าไหนได้คะ"	"Knowledge"	""	""	""	""	"J6"	"14/05/2026"	"19/05/2026"	"J3"	"18/05/2026"	"1226"	2	""	"J6"	"Standard"	""	""	"LINE"	"14/05/2026"	"J6"	"13:20"	""	"หน้าจอ A/R Billing จะมีรายงาน A/R Billing Status Report อยู่สามารถตรวจสอบได้ว่า Invoice ไหนที่ยังไม่ถูกวางบิล โดยเช็คจากเลข Billing ที่ขึ้นว่า *To be Billing จะเป็น Invoice ที่รอการวางบิลอยู่"	"หน้าจอ A/R Billing จะมีรายงาน A/R Billing Status Report อยู่สามารถตรวจสอบได้ว่า Invoice ไหนที่ยังไม่ถูกวางบิล โดยเช็คจากเลข Billing ที่ขึ้นว่า *To be Billing จะเป็น Invoice ที่รอการวางบิลอยู่"	2	"Standard"	"3 Days"	Pass	0.00	"14/05/2026"	
"ADI2605004"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Tarn"	"14/05/2026"	"14:00"	"ทำไมเรียก report มาแล้ว ของ CMW มี tobe billing  แต่พอจะกดวางบิล ถึงไม่มีขึ้นคะ"	""	"AR"	"PPCC_ARBilling"	"AR Billing"	"Localized"	"ทำไมเรียก report มาแล้ว ของ CMW มี tobe billing 
แต่พอจะกดวางบิล ถึงไม่มีขึ้นคะ"	"PPCC Localized"	""	"รายงานแสดงผิด

DCN2012-0020 ถูกนำไปทำ Billing BR2012000029
DCN2302-0068 ถูกนำไปทำ Billing BR2302000026"	"แก้ไขรายงาน"	""	"J3"	"14/05/2026"	"19/05/2026"	"J3"	"18/05/2026"	"1227"	2	""	"J6"	"Standard"	""	""	"LINE"	"14/05/2026"	"J6"	"14:10"	""	"แก้ไขรายงาน"	"แก้ไขรายงาน"	2	"Standard"	"3 Days"	Pass	0.00	"14/05/2026"	
"ADI2605005"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Tarn"	"15/05/2026"	"07:05"	"เวลาทำ Payment มันจะต้องมาขึ้น billing ตรงนี้มั้ยคะ"	""	"AR"	"PPCC_A/R Payments"	"AR Payment"	"Localized"	"เวลาทำ Payment มันจะต้องมาขึ้น billing ตรงนี้มั้ยคะมันขึ้นเฉพาะแค่หน้าที่ต้องกด Quick หรอคะ"	"Knowledge"	""	"Billing BR2412000041 มี Statu เป็น Open"	"เปลี่ยน Status เป็น Complete"	""	"J6"	"15/05/2026"	"20/05/2026"	"J3"	"18/05/2026"	"1227"	1	""	"J6"	"Standard"	""	""	"LINE"	"15/05/2026"	"J6"	"07:15"	""	"เปลี่ยน Status เป็น Complete"	"เปลี่ยน Status เป็น Complete"	1	"Standard"	"3 Days"	Pass	0.00	"15/05/2026"	
"ADI2605006"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Natthakan"	"27/05/2026"	"14:10"	"ช่วยตรวจสอบการคำนวณ %A ใน ERP ให้หน่อยค่ะ"	""	"PS"	"PPCC_DailyProductionData"	"ProductionScheduleCompleteTransactions"	"Customized"	"Could you please check %A Please find the attachment"	"Knowledge"	""	"จากการตรวจสอบสูตรคำนวณ %A มาจาก ((operating-(pnt+aut))/(operating-pnt))*100
operating 8 ชั่วโมง
pnt 1.75 ชั่วโมง
aut 0.5 ชั่วโมง

(((8*60)-((1.75*60)+(0.5*60)))/((8*60)-(1.75*60)))*100 = 92"	""	""	"J3"	"27/05/2026"	"01/06/2026"	"J3"	"28/05/2026"	"0934"	1	""	"J6"	"Standard"	""	""	"LINE"	"27/05/2026"	"J6"	"14:15"	""	""	""	1	"Standard"	"3 Days"	Pass	0.00	"27/05/2026"	
"ADI2606001"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"K.Tarn"	"10/06/2026"	"10:30"	"ขอตัว add in ทีค่ะ ไม่รู้หายไปไหน"	""	"GL"	"Excel Add In"	"Excel Add-In"	"Tech"	"ขอตัว add in ทีค่ะ ไม่รู้หายไปไหน"	"Technical"	""	"Add-In ถูก Disable ไว้"	"ไป Eanble และ Active กลับมา"	""	"SA"	"10/06/2026"	"15/06/2026"	"J3"	"10/06/2026"	"1620"	1	""	"J6"	"Standard"	""	""	"MAIL"	"10/06/2026"	"J6"	"10:35"	""	"ไป Eanble และ Active กลับมา"	"ไป Eanble และ Active กลับมา"	1	"Standard"	"3 Days"	Pass	0.00	"10/06/2026"	
"ADI2606002"	0	0	0	"999-Closed"	"ADI"	"ADI_LIV"	"Natty"	"12/06/2026"	"08:35"	"ช่วยแก้ไข Location ให้เป็น B-CNC-FG ให้หน่อยนะคะ"	""	"Item"	"Item Lot Locations"	"Item Lot Locations"	"Standard"	"ช่วยแก้ไข Location ให้เป็น B-CNC-FG ให้หน่อยนะคะ"	"Human Error"	""	""	""	""	"SU"	"12/06/2026"	"17/06/2026"	"J3"	"15/06/2026"	"0851"	1	""	"J6"	"Standard"	""	""	"MAIL"	"12/06/2026"	"J6"	"08:50"	""	"ทำ Quantity Move ย้ายของจาก Location Transit ไปที่ B-CNC-FG"	"ทำ Quantity Move ย้ายของจาก Location Transit ไปที่ B-CNC-FG"	1	"Standard"	"3 Days"	Pass	0.00	"12/06/2026"	
"ADI2606003"	0	0	0	"010-Open"	"ADI"	"ADI_LIV"	"K.Natthakan"	"16/06/2026"	"14:45"	"ช่วยตรวจสอบ DIV2606-0193 ฝ่ายขายแจ้งว่าไม่ได้ Gen"	""	"AR"	"Invoices Debit and Credit Memos"	"Invoices Debit and Credit Memos"	""	"ช่วยตรวจสอบ DIV2606-0193 ฝ่ายขายแจ้งว่าไม่ได้ Gen"	""	""	"Invoice DIV2606-0193 ตั้งหนี้มาจาก DO DO2300008993 ซึ่งใน DO DO2300008993 มี 2 Seq  โดย Seq #1 ถูกตั้งหนี้ไปด้วย DIV2412-0137 และหลังจาก Post DO Seq #1 ไปแล้วมีการมาสร้าง Seq #5 ด้วย CO SO67001250 Line #3 Release #6 ในภายหลัง รายการ Seq #5 จึงยังไม่ถูกนำไปตั้งหนี้ และวันนี้ เวลา 08:49 น. User มีการ Post DO แต่ใส่เงื่อนไขเฉพาะ DO Ending DO2500008248 ระบบจึงกวาด DO ที่ยังไม่ได้ตั้งหนี้มาตั้งหนี้"	""	""	""	"16/06/2026"	"19/06/2026"	""	""	""		""	"sa"	"Standard"	""	""	"MAIL"	"16/06/2026"	"J3"	"15:15"	""	""	""		"Standard"	"3 Days"		0.00	"16/06/2026"	
